"scenario","pve","K","method","configuration","n_replicates"
"Additive + dominant",0.3,5,"SuSiE","add3_rec0_dom2",400
"Additive + dominant",0.4,5,"SuSiE","add3_rec0_dom2",400
"Additive + dominant",0.1,5,"SuSiE-mix","add3_rec0_dom2",400
"Additive + dominant",0.2,5,"SuSiE-mix","add3_rec0_dom2",400
"Additive + dominant",0.3,5,"SuSiE-mix","add3_rec0_dom2",400
"Additive + dominant",0.4,5,"SuSiE-mix","add3_rec0_dom2",400
"Additive + recessive",0.1,4,"SuSiE","add3_rec1_dom0",400
"Additive + recessive",0.2,4,"SuSiE","add3_rec1_dom0",400
"Additive + recessive",0.3,4,"SuSiE","add3_rec1_dom0",400
"Additive + recessive",0.4,4,"SuSiE","add3_rec1_dom0",400
"Additive + recessive",0.1,4,"SuSiE-mix","add3_rec1_dom0",400
"Additive + recessive",0.2,4,"SuSiE-mix","add3_rec1_dom0",400
"Additive + recessive",0.3,4,"SuSiE-mix","add3_rec1_dom0",400
"Additive + recessive",0.4,4,"SuSiE-mix","add3_rec1_dom0",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add3_rec1_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add3_rec1_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add3_rec1_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add3_rec1_dom1",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add3_rec1_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add3_rec1_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add3_rec1_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add3_rec1_dom1",400
"Additive + recessive",0.1,5,"SuSiE","add3_rec2_dom0",400
"Additive + recessive",0.2,5,"SuSiE","add3_rec2_dom0",400
"Additive + recessive",0.3,5,"SuSiE","add3_rec2_dom0",400
"Additive + recessive",0.4,5,"SuSiE","add3_rec2_dom0",400
"Additive + recessive",0.1,5,"SuSiE-mix","add3_rec2_dom0",400
"Additive + recessive",0.2,5,"SuSiE-mix","add3_rec2_dom0",400
"Additive + recessive",0.3,5,"SuSiE-mix","add3_rec2_dom0",400
"Additive + recessive",0.4,5,"SuSiE-mix","add3_rec2_dom0",400
"Additive only",0.1,4,"SuSiE","add4_rec0_dom0",400
"Additive only",0.2,4,"SuSiE","add4_rec0_dom0",400
"Additive only",0.3,4,"SuSiE","add4_rec0_dom0",400
"Additive only",0.4,4,"SuSiE","add4_rec0_dom0",400
"Additive only",0.1,4,"SuSiE-mix","add4_rec0_dom0",400
"Additive only",0.2,4,"SuSiE-mix","add4_rec0_dom0",400
"Additive only",0.3,4,"SuSiE-mix","add4_rec0_dom0",400
"Additive only",0.4,4,"SuSiE-mix","add4_rec0_dom0",400
"Additive + dominant",0.1,5,"SuSiE","add4_rec0_dom1",400
"Additive + dominant",0.2,5,"SuSiE","add4_rec0_dom1",400
"Additive + dominant",0.3,5,"SuSiE","add4_rec0_dom1",400
"Additive + dominant",0.4,5,"SuSiE","add4_rec0_dom1",400
"Additive + dominant",0.1,5,"SuSiE-mix","add4_rec0_dom1",400
"Additive + dominant",0.2,5,"SuSiE-mix","add4_rec0_dom1",400
"Additive + dominant",0.3,5,"SuSiE-mix","add4_rec0_dom1",400
"Additive + dominant",0.4,5,"SuSiE-mix","add4_rec0_dom1",400
"Additive + recessive",0.1,5,"SuSiE","add4_rec1_dom0",400
"Additive + recessive",0.2,5,"SuSiE","add4_rec1_dom0",400
"Additive + recessive",0.3,5,"SuSiE","add4_rec1_dom0",400
"Additive + recessive",0.4,5,"SuSiE","add4_rec1_dom0",400
"Additive + recessive",0.1,5,"SuSiE-mix","add4_rec1_dom0",400
"Additive + recessive",0.2,5,"SuSiE-mix","add4_rec1_dom0",400
"Additive + recessive",0.3,5,"SuSiE-mix","add4_rec1_dom0",400
"Additive + recessive",0.4,5,"SuSiE-mix","add4_rec1_dom0",400
"Additive only",0.1,5,"SuSiE","add5_rec0_dom0",400
"Additive only",0.2,5,"SuSiE","add5_rec0_dom0",400
"Additive only",0.3,5,"SuSiE","add5_rec0_dom0",400
"Additive only",0.4,5,"SuSiE","add5_rec0_dom0",400
"Additive only",0.1,5,"SuSiE-mix","add5_rec0_dom0",400
"Additive only",0.2,5,"SuSiE-mix","add5_rec0_dom0",400
"Additive only",0.3,5,"SuSiE-mix","add5_rec0_dom0",400
"Additive only",0.4,5,"SuSiE-mix","add5_rec0_dom0",400
