"gene","tissue","issue","message"
"HSFX2","","gene_error","PLINK failed for HSFX2 on chromosome X with exit status 7"
"HSFY1","","gene_error","PLINK failed for HSFY1 on chromosome Y with exit status 7"
"HSFY2","","gene_error","PLINK failed for HSFY2 on chromosome Y with exit status 7"
"HTATSF1","","gene_error","PLINK failed for HTATSF1 on chromosome X with exit status 7"
"HTR2C","","gene_error","PLINK failed for HTR2C on chromosome X with exit status 7"
"HUWE1","","gene_error","PLINK failed for HUWE1 on chromosome X with exit status 7"
"IDH3G","","gene_error","PLINK failed for IDH3G on chromosome X with exit status 7"
"IDS","","gene_error","PLINK failed for IDS on chromosome X with exit status 7"
"IGBP1","","gene_error","PLINK failed for IGBP1 on chromosome X with exit status 7"
"IGSF1","","gene_error","PLINK failed for IGSF1 on chromosome X with exit status 7"
"IKBKG","","gene_error","PLINK failed for IKBKG on chromosome X with exit status 7"
"IL13RA1","","gene_error","PLINK failed for IL13RA1 on chromosome X with exit status 7"
"IL13RA2","","gene_error","PLINK failed for IL13RA2 on chromosome X with exit status 7"
"IL1RAPL1","","gene_error","PLINK failed for IL1RAPL1 on chromosome X with exit status 7"
"IL1RAPL2","","gene_error","PLINK failed for IL1RAPL2 on chromosome X with exit status 7"
"IL2RG","","gene_error","PLINK failed for IL2RG on chromosome X with exit status 7"
"IL3RA","","gene_error","PLINK failed for IL3RA on chromosome X with exit status 7"
"IL9R","","gene_error","PLINK failed for IL9R on chromosome X with exit status 7"
"INTS6L","","gene_error","PLINK failed for INTS6L on chromosome X with exit status 7"
"IQSEC2","","gene_error","PLINK failed for IQSEC2 on chromosome X with exit status 7"
"IRAK1","","gene_error","PLINK failed for IRAK1 on chromosome X with exit status 7"
"IRS4","","gene_error","PLINK failed for IRS4 on chromosome X with exit status 7"
"ITGB1BP2","","gene_error","PLINK failed for ITGB1BP2 on chromosome X with exit status 7"
"ITIH6","","gene_error","PLINK failed for ITIH6 on chromosome X with exit status 7"
"ITM2A","","gene_error","PLINK failed for ITM2A on chromosome X with exit status 7"
"JADE3","","gene_error","PLINK failed for JADE3 on chromosome X with exit status 7"
"KANTR","","gene_error","PLINK failed for KANTR on chromosome X with exit status 7"
"KCND1","","gene_error","PLINK failed for KCND1 on chromosome X with exit status 7"
"KCNE5","","gene_error","PLINK failed for KCNE5 on chromosome X with exit status 7"
"KDM5C","","gene_error","PLINK failed for KDM5C on chromosome X with exit status 7"
"KDM5D","","gene_error","PLINK failed for KDM5D on chromosome Y with exit status 7"
"KDM6A","","gene_error","PLINK failed for KDM6A on chromosome X with exit status 7"
"KIAA1210","","gene_error","PLINK failed for KIAA1210 on chromosome X with exit status 7"
"KIF4A","","gene_error","PLINK failed for KIF4A on chromosome X with exit status 7"
"KLF8","","gene_error","PLINK failed for KLF8 on chromosome X with exit status 7"
"KLHL13","","gene_error","PLINK failed for KLHL13 on chromosome X with exit status 7"
"KLHL15","","gene_error","PLINK failed for KLHL15 on chromosome X with exit status 7"
"KLHL34","","gene_error","PLINK failed for KLHL34 on chromosome X with exit status 7"
"KLHL4","","gene_error","PLINK failed for KLHL4 on chromosome X with exit status 7"
"KRBOX4","","gene_error","PLINK failed for KRBOX4 on chromosome X with exit status 7"
"L1CAM","","gene_error","PLINK failed for L1CAM on chromosome X with exit status 7"
"LAGE3","","gene_error","PLINK failed for LAGE3 on chromosome X with exit status 7"
"LAMP2","","gene_error","PLINK failed for LAMP2 on chromosome X with exit status 7"
"LANCL3","","gene_error","PLINK failed for LANCL3 on chromosome X with exit status 7"
"LAS1L","","gene_error","PLINK failed for LAS1L on chromosome X with exit status 7"
"LDOC1","","gene_error","PLINK failed for LDOC1 on chromosome X with exit status 7"
"LHFPL1","","gene_error","PLINK failed for LHFPL1 on chromosome X with exit status 7"
"LONRF3","","gene_error","PLINK failed for LONRF3 on chromosome X with exit status 7"
"LOXL1","","gene_error","PLINK failed for LOXL1 on chromosome 15 with exit status 127"
"LPAR4","","gene_error","PLINK failed for LPAR4 on chromosome X with exit status 127"
"LRCH2","","gene_error","PLINK failed for LRCH2 on chromosome X with exit status 7"
"LRPPRC","","gene_error","PLINK failed for LRPPRC on chromosome 2 with exit status 127"
"LRRC19","","gene_error","PLINK failed for LRRC19 on chromosome 9 with exit status 127"
"LUZP4","","gene_error","PLINK failed for LUZP4 on chromosome X with exit status 7"
"MAGEA1","","gene_error","PLINK failed for MAGEA1 on chromosome X with exit status 7"
"MAGEA10","","gene_error","PLINK failed for MAGEA10 on chromosome X with exit status 7"
"MAGEA11","","gene_error","PLINK failed for MAGEA11 on chromosome X with exit status 7"
"MAGEA12","","gene_error","PLINK failed for MAGEA12 on chromosome X with exit status 7"
"MAGEA2","","gene_error","PLINK failed for MAGEA2 on chromosome X with exit status 7"
"MAGEA2B","","gene_error","PLINK failed for MAGEA2B on chromosome X with exit status 7"
"MAGEA3","","gene_error","PLINK failed for MAGEA3 on chromosome X with exit status 7"
"MAGEA4","","gene_error","PLINK failed for MAGEA4 on chromosome X with exit status 7"
"MAGEA6","","gene_error","PLINK failed for MAGEA6 on chromosome X with exit status 7"
"MAGEA8","","gene_error","PLINK failed for MAGEA8 on chromosome X with exit status 7"
"MAGEA9","","gene_error","PLINK failed for MAGEA9 on chromosome X with exit status 7"
"MAGEA9B","","gene_error","PLINK failed for MAGEA9B on chromosome X with exit status 7"
"MAGEB1","","gene_error","PLINK failed for MAGEB1 on chromosome X with exit status 7"
"MAGEB10","","gene_error","PLINK failed for MAGEB10 on chromosome X with exit status 7"
"MAGEB16","","gene_error","PLINK failed for MAGEB16 on chromosome X with exit status 7"
"MAGEB17","","gene_error","PLINK failed for MAGEB17 on chromosome X with exit status 7"
"MAGEB18","","gene_error","PLINK failed for MAGEB18 on chromosome X with exit status 7"
"MAGEB2","","gene_error","PLINK failed for MAGEB2 on chromosome X with exit status 7"
"MAGEB3","","gene_error","PLINK failed for MAGEB3 on chromosome X with exit status 7"
"MAGEB4","","gene_error","PLINK failed for MAGEB4 on chromosome X with exit status 7"
"MAGEB5","","gene_error","PLINK failed for MAGEB5 on chromosome X with exit status 7"
"MAGEB6","","gene_error","PLINK failed for MAGEB6 on chromosome X with exit status 7"
"MAGEC1","","gene_error","PLINK failed for MAGEC1 on chromosome X with exit status 7"
"MAGEC2","","gene_error","PLINK failed for MAGEC2 on chromosome X with exit status 7"
"MAGEC3","","gene_error","PLINK failed for MAGEC3 on chromosome X with exit status 7"
"MAGED1","","gene_error","PLINK failed for MAGED1 on chromosome X with exit status 7"
"MAGED2","","gene_error","PLINK failed for MAGED2 on chromosome X with exit status 7"
"MAGED4","","gene_error","PLINK failed for MAGED4 on chromosome X with exit status 7"
"MAGED4B","","gene_error","PLINK failed for MAGED4B on chromosome X with exit status 7"
"MAGEE1","","gene_error","PLINK failed for MAGEE1 on chromosome X with exit status 7"
"MAGEE2","","gene_error","PLINK failed for MAGEE2 on chromosome X with exit status 7"
"MAGEH1","","gene_error","PLINK failed for MAGEH1 on chromosome X with exit status 7"
"MAGIX","","gene_error","PLINK failed for MAGIX on chromosome X with exit status 7"
"MAGT1","","gene_error","PLINK failed for MAGT1 on chromosome X with exit status 7"
"MAMLD1","","gene_error","PLINK failed for MAMLD1 on chromosome X with exit status 7"
"MAOA","","gene_error","PLINK failed for MAOA on chromosome X with exit status 7"
"MAOB","","gene_error","PLINK failed for MAOB on chromosome X with exit status 7"
"MAP3K15","","gene_error","PLINK failed for MAP3K15 on chromosome X with exit status 7"
"MAP7D2","","gene_error","PLINK failed for MAP7D2 on chromosome X with exit status 7"
"MAP7D3","","gene_error","PLINK failed for MAP7D3 on chromosome X with exit status 7"
"MBNL3","","gene_error","PLINK failed for MBNL3 on chromosome X with exit status 7"
"MBTPS2","","gene_error","PLINK failed for MBTPS2 on chromosome X with exit status 7"
"MCF2","","gene_error","PLINK failed for MCF2 on chromosome X with exit status 7"
"MCTS1","","gene_error","PLINK failed for MCTS1 on chromosome X with exit status 7"
"MECP2","","gene_error","PLINK failed for MECP2 on chromosome X with exit status 7"
"MED12","","gene_error","PLINK failed for MED12 on chromosome X with exit status 7"
"MED14","","gene_error","PLINK failed for MED14 on chromosome X with exit status 7"
"MID1","","gene_error","PLINK failed for MID1 on chromosome X with exit status 7"
"MID1IP1","","gene_error","PLINK failed for MID1IP1 on chromosome X with exit status 7"
"MID2","","gene_error","PLINK failed for MID2 on chromosome X with exit status 7"
"MMGT1","","gene_error","PLINK failed for MMGT1 on chromosome X with exit status 7"
"MORC4","","gene_error","PLINK failed for MORC4 on chromosome X with exit status 7"
"MORF4L2","","gene_error","PLINK failed for MORF4L2 on chromosome X with exit status 7"
"MOSPD1","","gene_error","PLINK failed for MOSPD1 on chromosome X with exit status 7"
"MOSPD2","","gene_error","PLINK failed for MOSPD2 on chromosome X with exit status 7"
"MPC1L","","gene_error","PLINK failed for MPC1L on chromosome X with exit status 7"
"MPP1","","gene_error","PLINK failed for MPP1 on chromosome X with exit status 7"
"MSL3","","gene_error","PLINK failed for MSL3 on chromosome X with exit status 7"
"MSN","","gene_error","PLINK failed for MSN on chromosome X with exit status 7"
"MT-ATP6","","gene_error","PLINK failed for MT-ATP6 on chromosome MT with exit status 7"
"MT-ATP8","","gene_error","PLINK failed for MT-ATP8 on chromosome MT with exit status 7"
"MT-CO1","","gene_error","PLINK failed for MT-CO1 on chromosome MT with exit status 7"
"MT-CO2","","gene_error","PLINK failed for MT-CO2 on chromosome MT with exit status 7"
"MT-CO3","","gene_error","PLINK failed for MT-CO3 on chromosome MT with exit status 7"
"MT-CYB","","gene_error","PLINK failed for MT-CYB on chromosome MT with exit status 7"
"MT-ND1","","gene_error","PLINK failed for MT-ND1 on chromosome MT with exit status 7"
"MT-ND2","","gene_error","PLINK failed for MT-ND2 on chromosome MT with exit status 7"
"MT-ND3","","gene_error","PLINK failed for MT-ND3 on chromosome MT with exit status 7"
"MT-ND4","","gene_error","PLINK failed for MT-ND4 on chromosome MT with exit status 7"
"MT-ND4L","","gene_error","PLINK failed for MT-ND4L on chromosome MT with exit status 7"
"MT-ND5","","gene_error","PLINK failed for MT-ND5 on chromosome MT with exit status 7"
"MT-ND6","","gene_error","PLINK failed for MT-ND6 on chromosome MT with exit status 7"
"MTCP1","","gene_error","PLINK failed for MTCP1 on chromosome X with exit status 7"
"MTM1","","gene_error","PLINK failed for MTM1 on chromosome X with exit status 7"
"MTMR1","","gene_error","PLINK failed for MTMR1 on chromosome X with exit status 7"
"MTMR8","","gene_error","PLINK failed for MTMR8 on chromosome X with exit status 7"
"MTRNR2L10","","gene_error","PLINK failed for MTRNR2L10 on chromosome X with exit status 7"
"MXRA5","","gene_error","PLINK failed for MXRA5 on chromosome X with exit status 7"
"NAA10","","gene_error","PLINK failed for NAA10 on chromosome X with exit status 7"
"NAP1L2","","gene_error","PLINK failed for NAP1L2 on chromosome X with exit status 7"
"NAP1L3","","gene_error","PLINK failed for NAP1L3 on chromosome X with exit status 7"
"NBDY","","gene_error","PLINK failed for NBDY on chromosome X with exit status 7"
"NCBP2L","","gene_error","PLINK failed for NCBP2L on chromosome X with exit status 7"
"NDP","","gene_error","PLINK failed for NDP on chromosome X with exit status 7"
"NDUFA1","","gene_error","PLINK failed for NDUFA1 on chromosome X with exit status 7"
"NDUFB11","","gene_error","PLINK failed for NDUFB11 on chromosome X with exit status 7"
"NHS","","gene_error","PLINK failed for NHS on chromosome X with exit status 7"
"NHSL2","","gene_error","PLINK failed for NHSL2 on chromosome X with exit status 7"
"NKAP","","gene_error","PLINK failed for NKAP on chromosome X with exit status 7"
"NKRF","","gene_error","PLINK failed for NKRF on chromosome X with exit status 7"
"NLGN3","","gene_error","PLINK failed for NLGN3 on chromosome X with exit status 7"
"NLGN4X","","gene_error","PLINK failed for NLGN4X on chromosome X with exit status 7"
"NLGN4Y","","gene_error","PLINK failed for NLGN4Y on chromosome Y with exit status 7"
"NLRP2B","","gene_error","PLINK failed for NLRP2B on chromosome X with exit status 7"
"NONO","","gene_error","PLINK failed for NONO on chromosome X with exit status 7"
"NOX1","","gene_error","PLINK failed for NOX1 on chromosome X with exit status 7"
"NR0B1","","gene_error","PLINK failed for NR0B1 on chromosome X with exit status 7"
"NRK","","gene_error","PLINK failed for NRK on chromosome X with exit status 7"
"NSDHL","","gene_error","PLINK failed for NSDHL on chromosome X with exit status 7"
"NUDT10","","gene_error","PLINK failed for NUDT10 on chromosome X with exit status 7"
"NUDT11","","gene_error","PLINK failed for NUDT11 on chromosome X with exit status 7"
"NUP62CL","","gene_error","PLINK failed for NUP62CL on chromosome X with exit status 7"
"NXF2","","gene_error","PLINK failed for NXF2 on chromosome X with exit status 7"
"NXF2B","","gene_error","PLINK failed for NXF2B on chromosome X with exit status 7"
"NXF3","","gene_error","PLINK failed for NXF3 on chromosome X with exit status 7"
"NXT2","","gene_error","PLINK failed for NXT2 on chromosome X with exit status 7"
"NYX","","gene_error","PLINK failed for NYX on chromosome X with exit status 7"
"OCRL","","gene_error","PLINK failed for OCRL on chromosome X with exit status 7"
"OFD1","","gene_error","PLINK failed for OFD1 on chromosome X with exit status 7"
"OGT","","gene_error","PLINK failed for OGT on chromosome X with exit status 7"
"OPHN1","","gene_error","PLINK failed for OPHN1 on chromosome X with exit status 7"
"OPN1LW","","gene_error","PLINK failed for OPN1LW on chromosome X with exit status 7"
"OPN1MW","","gene_error","PLINK failed for OPN1MW on chromosome X with exit status 7"
"OPN1MW2","","gene_error","PLINK failed for OPN1MW2 on chromosome X with exit status 7"
"OPN1MW3","","gene_error","PLINK failed for OPN1MW3 on chromosome X with exit status 7"
"OR10R2","","no_successful_tissues","No tissue fits in result"
"OR13H1","","gene_error","PLINK failed for OR13H1 on chromosome X with exit status 7"
"OTC","","gene_error","PLINK failed for OTC on chromosome X with exit status 7"
"OTUD5","","gene_error","PLINK failed for OTUD5 on chromosome X with exit status 7"
"OTUD6A","","gene_error","PLINK failed for OTUD6A on chromosome X with exit status 7"
"P2RY10","","gene_error","PLINK failed for P2RY10 on chromosome X with exit status 7"
"P2RY4","","gene_error","PLINK failed for P2RY4 on chromosome X with exit status 7"
"P2RY8","","gene_error","PLINK failed for P2RY8 on chromosome X with exit status 7"
"PABPC1L2A","","gene_error","PLINK failed for PABPC1L2A on chromosome X with exit status 7"
"PABPC1L2B","","gene_error","PLINK failed for PABPC1L2B on chromosome X with exit status 7"
"PABPC5","","gene_error","PLINK failed for PABPC5 on chromosome X with exit status 7"
"PAGE1","","gene_error","PLINK failed for PAGE1 on chromosome X with exit status 7"
"PAGE2","","gene_error","PLINK failed for PAGE2 on chromosome X with exit status 7"
"PAGE2B","","gene_error","PLINK failed for PAGE2B on chromosome X with exit status 7"
"PAGE3","","gene_error","PLINK failed for PAGE3 on chromosome X with exit status 7"
"PAGE4","","gene_error","PLINK failed for PAGE4 on chromosome X with exit status 7"
"PAGE5","","gene_error","PLINK failed for PAGE5 on chromosome X with exit status 7"
"PAK3","","gene_error","PLINK failed for PAK3 on chromosome X with exit status 7"
"PASD1","","gene_error","PLINK failed for PASD1 on chromosome X with exit status 7"
"PBDC1","","gene_error","PLINK failed for PBDC1 on chromosome X with exit status 7"
"PCDH11X","","gene_error","PLINK failed for PCDH11X on chromosome X with exit status 7"
"PCDH11Y","","gene_error","PLINK failed for PCDH11Y on chromosome Y with exit status 7"
"PCDH19","","gene_error","PLINK failed for PCDH19 on chromosome X with exit status 7"
"PCSK1N","","gene_error","PLINK failed for PCSK1N on chromosome X with exit status 7"
"PCYT1B","","gene_error","PLINK failed for PCYT1B on chromosome X with exit status 7"
"PDHA1","","gene_error","PLINK failed for PDHA1 on chromosome X with exit status 7"
"PDK3","","gene_error","PLINK failed for PDK3 on chromosome X with exit status 7"
"PDZD11","","gene_error","PLINK failed for PDZD11 on chromosome X with exit status 7"
"PDZD4","","gene_error","PLINK failed for PDZD4 on chromosome X with exit status 7"
"PFKFB1","","gene_error","PLINK failed for PFKFB1 on chromosome X with exit status 7"
"PGAM4","","gene_error","PLINK failed for PGAM4 on chromosome X with exit status 7"
"PGK1","","gene_error","PLINK failed for PGK1 on chromosome X with exit status 7"
"PGRMC1","","gene_error","PLINK failed for PGRMC1 on chromosome X with exit status 7"
"PHEX","","gene_error","PLINK failed for PHEX on chromosome X with exit status 7"
"PHF6","","gene_error","PLINK failed for PHF6 on chromosome X with exit status 7"
"PHF8","","gene_error","PLINK failed for PHF8 on chromosome X with exit status 7"
"PHKA1","","gene_error","PLINK failed for PHKA1 on chromosome X with exit status 7"
"PHKA2","","gene_error","PLINK failed for PHKA2 on chromosome X with exit status 7"
"PIGA","","gene_error","PLINK failed for PIGA on chromosome X with exit status 7"
"PIM2","","gene_error","PLINK failed for PIM2 on chromosome X with exit status 7"
"PIN4","","gene_error","PLINK failed for PIN4 on chromosome X with exit status 7"
"PIR","","gene_error","PLINK failed for PIR on chromosome X with exit status 7"
"PJA1","","gene_error","PLINK failed for PJA1 on chromosome X with exit status 7"
"PLAC1","","gene_error","PLINK failed for PLAC1 on chromosome X with exit status 7"
"PLCXD1","","gene_error","PLINK failed for PLCXD1 on chromosome X with exit status 7"
"PLP1","","gene_error","PLINK failed for PLP1 on chromosome X with exit status 7"
"PLP2","","gene_error","PLINK failed for PLP2 on chromosome X with exit status 7"
"PLS3","","gene_error","PLINK failed for PLS3 on chromosome X with exit status 7"
"PLXNA3","","gene_error","PLINK failed for PLXNA3 on chromosome X with exit status 7"
"PLXNB3","","gene_error","PLINK failed for PLXNB3 on chromosome X with exit status 7"
"PNCK","","gene_error","PLINK failed for PNCK on chromosome X with exit status 7"
"PNMA3","","gene_error","PLINK failed for PNMA3 on chromosome X with exit status 7"
"PNMA5","","gene_error","PLINK failed for PNMA5 on chromosome X with exit status 7"
"PNMA6A","","gene_error","PLINK failed for PNMA6A on chromosome X with exit status 7"
"PNPLA4","","gene_error","PLINK failed for PNPLA4 on chromosome X with exit status 7"
"POF1B","","gene_error","PLINK failed for POF1B on chromosome X with exit status 7"
"POLA1","","gene_error","PLINK failed for POLA1 on chromosome X with exit status 7"
"POM121","","gene_error","PLINK failed for POM121 on chromosome 7 with exit status 127"
"POP4","","gene_error","PLINK failed for POP4 on chromosome 19 with exit status 127"
"PORCN","","gene_error","PLINK failed for PORCN on chromosome X with exit status 7"
"POU2F1","","gene_error","PLINK failed for POU2F1 on chromosome 1 with exit status 127"
"POU3F4","","gene_error","PLINK failed for POU3F4 on chromosome X with exit status 7"
"PPEF1","","gene_error","PLINK failed for PPEF1 on chromosome X with exit status 7"
"PPIAL4A","","gene_error","PLINK failed for PPIAL4A on chromosome 1 with exit status 127"
"PPIE","","gene_error","PLINK failed for PPIE on chromosome 1 with exit status 127"
"PPIH","","gene_error","PLINK failed for PPIH on chromosome 1 with exit status 127"
"PPIL2","","gene_error","PLINK failed for PPIL2 on chromosome 22 with exit status 127"
"PPP1R3F","","gene_error","PLINK failed for PPP1R3F on chromosome X with exit status 7"
"PPP2R3B","","gene_error","PLINK failed for PPP2R3B on chromosome X with exit status 7"
"PQBP1","","gene_error","PLINK failed for PQBP1 on chromosome X with exit status 7"
"PRAF2","","gene_error","PLINK failed for PRAF2 on chromosome X with exit status 7"
"PRDX4","","gene_error","PLINK failed for PRDX4 on chromosome X with exit status 7"
"PRICKLE3","","gene_error","PLINK failed for PRICKLE3 on chromosome X with exit status 7"
"PRKX","","gene_error","PLINK failed for PRKX on chromosome X with exit status 7"
"PRPS1","","gene_error","PLINK failed for PRPS1 on chromosome X with exit status 7"
"PRPS2","","gene_error","PLINK failed for PRPS2 on chromosome X with exit status 7"
"PRR20B","","no_successful_tissues","No tissue fits in result"
"PRR20C","","no_successful_tissues","No tissue fits in result"
"PRR20D","","no_successful_tissues","No tissue fits in result"
"PRR20E","","no_successful_tissues","No tissue fits in result"
"PRR32","","gene_error","PLINK failed for PRR32 on chromosome X with exit status 7"
"PRRG1","","gene_error","PLINK failed for PRRG1 on chromosome X with exit status 7"
"PRRG3","","gene_error","PLINK failed for PRRG3 on chromosome X with exit status 7"
"PRY","","gene_error","PLINK failed for PRY on chromosome Y with exit status 7"
"PRY2","","gene_error","PLINK failed for PRY2 on chromosome Y with exit status 7"
"PRYP3","","gene_error","PLINK failed for PRYP3 on chromosome Y with exit status 7"
"PSMD10","","gene_error","PLINK failed for PSMD10 on chromosome X with exit status 7"
"PTCHD1","","gene_error","PLINK failed for PTCHD1 on chromosome X with exit status 7"
"PUDP","","gene_error","PLINK failed for PUDP on chromosome X with exit status 7"
"RAB33A","","gene_error","PLINK failed for RAB33A on chromosome X with exit status 7"
"RAB39B","","gene_error","PLINK failed for RAB39B on chromosome X with exit status 7"
"RAB40A","","gene_error","PLINK failed for RAB40A on chromosome X with exit status 7"
"RAB40AL","","gene_error","PLINK failed for RAB40AL on chromosome X with exit status 7"
"RAB41","","gene_error","PLINK failed for RAB41 on chromosome X with exit status 7"
"RAB9A","","gene_error","PLINK failed for RAB9A on chromosome X with exit status 7"
"RAB9B","","gene_error","PLINK failed for RAB9B on chromosome X with exit status 7"
"RAI2","","gene_error","PLINK failed for RAI2 on chromosome X with exit status 7"
"RAP2C","","gene_error","PLINK failed for RAP2C on chromosome X with exit status 7"
"RBBP7","","gene_error","PLINK failed for RBBP7 on chromosome X with exit status 7"
"RBM10","","gene_error","PLINK failed for RBM10 on chromosome X with exit status 7"
"RBM3","","gene_error","PLINK failed for RBM3 on chromosome X with exit status 7"
"RBM41","","gene_error","PLINK failed for RBM41 on chromosome X with exit status 7"
"RBMX","","gene_error","PLINK failed for RBMX on chromosome X with exit status 7"
"RBMX2","","gene_error","PLINK failed for RBMX2 on chromosome X with exit status 7"
"RBMXL3","","gene_error","PLINK failed for RBMXL3 on chromosome X with exit status 7"
"RBMY1A1","","gene_error","PLINK failed for RBMY1A1 on chromosome Y with exit status 7"
"RBMY1B","","gene_error","PLINK failed for RBMY1B on chromosome Y with exit status 7"
"RBMY1D","","gene_error","PLINK failed for RBMY1D on chromosome Y with exit status 7"
"RBMY1E","","gene_error","PLINK failed for RBMY1E on chromosome Y with exit status 7"
"RBMY1F","","gene_error","PLINK failed for RBMY1F on chromosome Y with exit status 7"
"RBMY1J","","gene_error","PLINK failed for RBMY1J on chromosome Y with exit status 7"
"RENBP","","gene_error","PLINK failed for RENBP on chromosome X with exit status 7"
"REPS2","","gene_error","PLINK failed for REPS2 on chromosome X with exit status 7"
"RGN","","gene_error","PLINK failed for RGN on chromosome X with exit status 7"
"RHOXF1","","gene_error","PLINK failed for RHOXF1 on chromosome X with exit status 7"
"RHOXF2","","gene_error","PLINK failed for RHOXF2 on chromosome X with exit status 7"
"RHOXF2B","","gene_error","PLINK failed for RHOXF2B on chromosome X with exit status 7"
"RIBC1","","gene_error","PLINK failed for RIBC1 on chromosome X with exit status 7"
"RIPPLY1","","gene_error","PLINK failed for RIPPLY1 on chromosome X with exit status 7"
"RLIM","","gene_error","PLINK failed for RLIM on chromosome X with exit status 7"
"RNF113A","","gene_error","PLINK failed for RNF113A on chromosome X with exit status 7"
"RNF128","","gene_error","PLINK failed for RNF128 on chromosome X with exit status 7"
"RP2","","gene_error","PLINK failed for RP2 on chromosome X with exit status 7"
"RPA4","","gene_error","PLINK failed for RPA4 on chromosome X with exit status 7"
"RPGR","","gene_error","PLINK failed for RPGR on chromosome X with exit status 7"
"RPL10","","gene_error","PLINK failed for RPL10 on chromosome X with exit status 7"
"RPL36A","","gene_error","PLINK failed for RPL36A on chromosome X with exit status 7"
"RPL39","","gene_error","PLINK failed for RPL39 on chromosome X with exit status 7"
"RPS4X","","gene_error","PLINK failed for RPS4X on chromosome X with exit status 7"
"RPS4Y1","","gene_error","PLINK failed for RPS4Y1 on chromosome Y with exit status 7"
"RPS4Y2","","gene_error","PLINK failed for RPS4Y2 on chromosome Y with exit status 7"
"RPS6KA3","","gene_error","PLINK failed for RPS6KA3 on chromosome X with exit status 7"
"RPS6KA6","","gene_error","PLINK failed for RPS6KA6 on chromosome X with exit status 7"
"RRAGB","","gene_error","PLINK failed for RRAGB on chromosome X with exit status 7"
"RS1","","gene_error","PLINK failed for RS1 on chromosome X with exit status 7"
"S100G","","gene_error","PLINK failed for S100G on chromosome X with exit status 7"
"SAGE1","","gene_error","PLINK failed for SAGE1 on chromosome X with exit status 7"
"SASH3","","gene_error","PLINK failed for SASH3 on chromosome X with exit status 7"
"SAT1","","gene_error","PLINK failed for SAT1 on chromosome X with exit status 7"
"SATL1","","gene_error","PLINK failed for SATL1 on chromosome X with exit status 7"
"SCML1","","gene_error","PLINK failed for SCML1 on chromosome X with exit status 7"
"SCML2","","gene_error","PLINK failed for SCML2 on chromosome X with exit status 7"
"SERPINA7","","gene_error","PLINK failed for SERPINA7 on chromosome X with exit status 7"
"SH2D1A","","gene_error","PLINK failed for SH2D1A on chromosome X with exit status 7"
"SH3BGRL","","gene_error","PLINK failed for SH3BGRL on chromosome X with exit status 7"
"SH3KBP1","","gene_error","PLINK failed for SH3KBP1 on chromosome X with exit status 7"
"SHOX","","gene_error","PLINK failed for SHOX on chromosome X with exit status 7"
"SHROOM2","","gene_error","PLINK failed for SHROOM2 on chromosome X with exit status 7"
"SHROOM4","","gene_error","PLINK failed for SHROOM4 on chromosome X with exit status 7"
"SLC10A3","","gene_error","PLINK failed for SLC10A3 on chromosome X with exit status 7"
"SLC16A2","","gene_error","PLINK failed for SLC16A2 on chromosome X with exit status 7"
"SLC25A14","","gene_error","PLINK failed for SLC25A14 on chromosome X with exit status 7"
"SLC25A43","","gene_error","PLINK failed for SLC25A43 on chromosome X with exit status 7"
"SLC25A5","","gene_error","PLINK failed for SLC25A5 on chromosome X with exit status 7"
"SLC25A53","","gene_error","PLINK failed for SLC25A53 on chromosome X with exit status 7"
"SLC25A6","","gene_error","PLINK failed for SLC25A6 on chromosome X with exit status 7"
"SLC35A2","","gene_error","PLINK failed for SLC35A2 on chromosome X with exit status 7"
"SLC38A5","","gene_error","PLINK failed for SLC38A5 on chromosome X with exit status 7"
"SLC6A14","","gene_error","PLINK failed for SLC6A14 on chromosome X with exit status 7"
"SLC6A8","","gene_error","PLINK failed for SLC6A8 on chromosome X with exit status 7"
"SLC7A3","","gene_error","PLINK failed for SLC7A3 on chromosome X with exit status 7"
"SLC9A6","","gene_error","PLINK failed for SLC9A6 on chromosome X with exit status 7"
"SLC9A7","","gene_error","PLINK failed for SLC9A7 on chromosome X with exit status 7"
"SLITRK2","","gene_error","PLINK failed for SLITRK2 on chromosome X with exit status 7"
"SLITRK4","","gene_error","PLINK failed for SLITRK4 on chromosome X with exit status 7"
"SMARCA1","","gene_error","PLINK failed for SMARCA1 on chromosome X with exit status 7"
"SMC1A","","gene_error","PLINK failed for SMC1A on chromosome X with exit status 7"
"SMIM10","","gene_error","PLINK failed for SMIM10 on chromosome X with exit status 7"
"SMIM10L2A","","gene_error","PLINK failed for SMIM10L2A on chromosome X with exit status 7"
"SMIM10L2B","","gene_error","PLINK failed for SMIM10L2B on chromosome X with exit status 7"
"SMIM9","","gene_error","PLINK failed for SMIM9 on chromosome X with exit status 7"
"SMPX","","gene_error","PLINK failed for SMPX on chromosome X with exit status 7"
"SMS","","gene_error","PLINK failed for SMS on chromosome X with exit status 7"
"SNX12","","gene_error","PLINK failed for SNX12 on chromosome X with exit status 7"
"SOWAHD","","gene_error","PLINK failed for SOWAHD on chromosome X with exit status 7"
"SOX3","","gene_error","PLINK failed for SOX3 on chromosome X with exit status 7"
"SPACA5","","gene_error","PLINK failed for SPACA5 on chromosome X with exit status 7"
"SPACA5B","","gene_error","PLINK failed for SPACA5B on chromosome X with exit status 7"
"SPANXA1","","gene_error","PLINK failed for SPANXA1 on chromosome X with exit status 7"
"SPANXA2","","gene_error","PLINK failed for SPANXA2 on chromosome X with exit status 7"
